X1,X2,Y
62,34,1
38,26,1
46,87,0
24,64,1
72,29,0
9,24,1
44,99,0
76,91,0
59,64,0
33,21,1
72,40,0
32,71,0
14,90,0
50,6,1
61,86,0
25,97,0
13,72,1
40,88,0
79,57,0
50,47,1
22,4,1
53,27,1
10,27,1
37,98,0
54,27,1
81,55,0
99,95,0
1,88,1
20,24,1
85,73,0
3,87,1
33,62,1
64,75,0
71,51,0
78,83,0
15,57,1
50,73,0
81,12,1
34,6,1
13,62,1
92,33,0
95,23,0
23,50,1
1,64,1
45,65,0
89,18,0
58,89,0
35,91,0
50,4,1
5,2,1
43,80,0
15,23,1
29,96,0
49,71,0
43,68,0
69,89,0
63,81,0
27,36,1
51,20,1
64,1,1
86,45,0
66,33,1
36,68,0
54,80,0
70,54,0
52,71,0
87,86,0
72,62,0
65,5,1
5,11,1
1,4,1
83,5,1
65,13,1
74,41,0
14,19,1
84,79,0
64,0,1
98,46,0
41,92,0
32,92,0
77,5,1
14,86,1
64,56,0
28,34,1
57,60,0
4,34,1
100,52,0
33,18,1
60,26,1
76,19,1
61,77,0
5,3,1
14,32,1
2,66,1
92,66,0
77,86,0
58,100,0
24,21,1
58,60,0
88,16,0
94,83,0
84,9,1
18,60,1
32,54,1
41,18,1
14,52,1
71,43,0
100,100,0
53,18,1
80,36,0
38,51,1
70,86,0
20,32,1
99,1,1
44,91,0
58,89,0
11,85,1
6,81,1
92,68,0
