X1,X2,Y
36,53,1
58,53,0
31,51,1
84,34,0
2,66,1
65,96,0
80,22,0
78,3,0
94,19,0
96,29,0
82,87,0
11,55,1
6,23,1
48,4,1
45,81,1
70,78,0
95,71,0
47,95,1
65,19,0
49,79,1
76,11,0
90,19,0
15,36,1
5,39,1
43,0,1
89,4,0
21,74,1
1,99,1
50,41,0
4,37,1
11,71,1
90,15,0
64,36,0
69,52,0
26,69,1
73,47,0
77,79,0
20,16,1
47,23,1
59,41,0
72,59,0
26,71,1
11,69,1
82,67,0
88,43,0
28,3,1
63,91,0
100,65,0
22,40,1
87,16,0
91,25,0
72,98,0
93,75,0
60,48,0
75,9,0
34,61,1
36,33,1
36,9,1
19,91,1
62,95,0
34,87,1
92,86,0
24,35,1
66,2,0
32,54,1
35,91,1
92,94,0
0,48,1
20,83,1
12,82,1
56,22,0
88,67,0
70,83,0
30,97,1
9,27,1
66,69,0
31,18,1
23,40,1
37,20,1
67,32,0
92,93,0
33,57,1
73,13,0
33,22,1
5,16,1
76,23,0
41,85,1
85,23,0
100,79,0
16,18,1
89,20,0
52,3,0
61,44,0
45,49,1
49,9,1
56,25,0
65,43,0
87,36,0
38,32,1
86,23,0
88,11,0
41,72,1
81,67,0
60,36,0
79,81,0
85,64,0
55,73,0
33,98,1
11,65,1
72,68,0
27,95,1
55,6,0
7,6,1
29,51,1
40,67,1
85,94,0
71,41,0
60,80,0
54,63,0
